"","Organism"
"1","Drosophila melanogaster"
"2","Mus musculus"
"3","Rattus norvegicus"
"4","Loxodonta africana"
"5","Danio rerio"
"6","Aplysia californica"
"7","Strongylocentrotus purpuratus"
"8","Rattus norvegicus"
"9","Canis lupus"
"10","Monodelphis domestica"
"11","Gallus gallus"
"12","Nasonia vitripennis"
"13","Tribolium castaneum"
"14","Caenorhabditis elegans"
"15","Sus scrofa"
"16","Saccoglossus kowalevskii"
"17","Oryctolagus cuniculus"
"18","Branchiostoma floridae"
"19","Hydra vulgaris"
"20","Xenopus tropicalis"
"21","Ailuropoda melanoleuca"
"22","Callithrix jacchus"
"23","Drosophila ananassae"
"24","Drosophila grimshawi"
"25","Drosophila mojavensis"
"26","Drosophila sechellia"
"27","Drosophila virilis"
"28","Anopheles gambiae"
"29","Drosophila willistoni"
"30","Drosophila yakuba"
"31","Pediculus humanus"
"32","Anolis carolinensis"
"33","Amphimedon queenslandica"
"34","Acyrthosiphon pisum"
"35","Atta cephalotes"
"36","Meleagris gallopavo"
"37","Nomascus leucogenys"
"38","Myotis lucifugus"
"39","Caenorhabditis remanei"
"40","Trichoplax adhaerens"
"41","Bombyx mori"
"42","Cavia porcellus"
"43","Taeniopygia guttata"
"44","Pteropus vampyrus"
"45","Dipodomys ordii"
"46","Gorilla gorilla"
"47","Carlito syrichta"
"48","Vicugna pacos"
"49","Callorhinchus milii"
"50","Microcebus murinus"
"51","Takifugu rubripes"
"52","Sorex araneus"
"53","Otolemur garnettii"
"54","Felis catus"
"55","Loa loa"
"56","Apis florea"
"57","Python bivittatus"
"58","Pogonomyrmex barbatus"
"59","Solenopsis invicta"
"60","Bombus impatiens"
"61","Sarcophilus harrisii"
"62","Acromyrmex echinatior"
"63","Ixodes scapularis"
"64","Dasypus novemcinctus"
"65","Culex quinquefasciatus"
"66","Nematostella vectensis"
"67","Bombus terrestris"
"68","Mustela putorius"
"69","Linepithema humile"
"70","Drosophila ficusphila"
"71","Megachile rotundata"
"72","Acropora digitifera"
"73","Cricetulus griseus"
"74","Ciona intestinalis"
"75","Drosophila elegans"
"76","Drosophila kikkawai"
"77","Drosophila takahashii"
"78","Latimeria chalumnae"
"79","Pelodiscus sinensis"
"80","Salmo salar"
"81","Drosophila biarmipes"
"82","Saimiri boliviensis"
"83","Ictidomys tridecemlineatus"
"84","Drosophila bipectinata"
