# Assembly Statistics Report
# Assembly name:  fErpCal1.1
# Organism name:  Erpetoichthys calabaricus (reedfish)
# Taxid:          27687
# BioSample:      SAMEA104026374
# BioProject:     PRJEB31579
# Submitter:      SC
# Date:           2019-03-26
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAADRL01
# Genome coverage: 51x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_900747795.2
# RefSeq assembly accession: GCF_900747795.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900747794.2	GCF_900747794.1	Primary Assembly
## 	GCF_004769045.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3811038701
all	all	all	all	spanned-gaps	5613
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	7498
all	all	all	all	contig-N50	1143051
all	all	all	all	contig-L50	868
all	all	all	all	total-gap-length	238294608
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	1885
all	all	all	all	component-count	1885
Primary Assembly	all	all	all	total-length	3811022027
Primary Assembly	all	all	all	ungapped-length	3572727419
Primary Assembly	all	all	all	spanned-gaps	5613
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	3468600371
Primary Assembly	all	all	assembled-molecule	ungapped-length	3282328612
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4524
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	87090686
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	63132810
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	195
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	255330970
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	227265997
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	894
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	357777291
Primary Assembly	1	Chromosome	all	ungapped-length	332548549
Primary Assembly	1	Chromosome	all	spanned-gaps	440
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	350098611
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	328090831
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	423
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
